GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-booking-system,com.parkingbookingsystem,Visitor,0,9,0,0,0,3,0,2,0,2
parking-booking-system,com.parkingbookingsystem,Database,0,185,0,12,0,48,0,18,0,12
parking-booking-system,com.parkingbookingsystem,ParkingSpace,0,248,0,14,0,61,0,30,0,23
parking-booking-system,com.parkingbookingsystem,User,0,150,2,20,0,31,2,23,0,14
parking-booking-system,com.parkingbookingsystem,Client,0,61,0,4,0,11,0,8,0,6
parking-booking-system,com.parkingbookingsystem,EtransferStrategy,0,5,0,0,0,2,0,2,0,2
parking-booking-system,com.parkingbookingsystem,Sensor,0,35,0,0,0,12,0,7,0,7
parking-booking-system,com.parkingbookingsystem,Manager,0,6,0,0,0,2,0,1,0,1
parking-booking-system,com.parkingbookingsystem,Payment,5,298,2,18,1,64,2,30,0,22
parking-booking-system,com.parkingbookingsystem,Controller,103,1258,12,112,38,226,12,77,0,27
parking-booking-system,com.parkingbookingsystem,CreditCardStrategy,0,5,0,0,0,2,0,2,0,2
parking-booking-system,com.parkingbookingsystem,Student,0,9,0,0,0,3,0,2,0,2
parking-booking-system,com.parkingbookingsystem,Faculty,0,9,0,0,0,3,0,2,0,2
parking-booking-system,com.parkingbookingsystem,ParkingSpace.ParkingStatus,0,27,0,0,0,1,0,1,0,1
parking-booking-system,com.parkingbookingsystem,Staff,0,9,0,0,0,3,0,2,0,2
parking-booking-system,com.parkingbookingsystem,ParkingSystemGUI,3838,0,101,0,884,0,109,0,56,0
parking-booking-system,com.parkingbookingsystem,Booking,72,468,1,21,30,103,16,37,15,27
parking-booking-system,com.parkingbookingsystem,PaymentProcessorProxy,0,13,0,0,0,3,0,2,0,2
parking-booking-system,com.parkingbookingsystem,RealPaymentProcessor,0,37,0,4,0,9,0,5,0,2
parking-booking-system,com.parkingbookingsystem,SuperManager,0,16,0,2,0,5,0,3,0,2
parking-booking-system,com.parkingbookingsystem,ParkingLot,0,310,4,24,0,58,4,29,0,19
parking-booking-system,com.parkingbookingsystem,DebitCardStrategy,0,5,0,0,0,2,0,2,0,2
parking-booking-system,com.parkingbookingsystem,UserFactory,3,102,1,12,1,18,2,10,1,2
parking-booking-system,com.parkingbookingsystem.commands,GetUserCommand,0,15,0,0,0,5,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,Result,0,17,0,0,0,7,0,5,0,5
parking-booking-system,com.parkingbookingsystem.commands,BookParkingSpaceCommand,0,42,0,0,0,11,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,AddPaymentCommand,0,26,0,0,0,8,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,DeleteUserCommand,0,16,0,0,0,6,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,CreateUserCommand,0,39,0,0,0,12,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,GetParkingLotListCommand,0,10,0,0,0,4,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,CancelParkingSpaceBookingCommand,0,26,0,0,0,8,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,Invoker,0,11,0,0,0,4,0,3,0,3
parking-booking-system,com.parkingbookingsystem.commands,GetBookingByIdCommand,0,15,0,0,0,5,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,GetUnvalidatedClientsCommand,0,10,0,0,0,4,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,GenerateManagerCommand,0,24,0,0,0,9,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,GetParkingLotByIdCommand,0,15,0,0,0,5,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,GetBookingsForUserCommand,0,15,0,0,0,5,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,ModifyParkingSpaceBookingCommand,0,47,0,0,0,12,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,GetAvailableParkingSpaceListCommand,0,10,0,0,0,4,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,CheckInToBookingCommand,0,16,0,0,0,6,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,ValidateUserCommand,0,16,0,0,0,6,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,CreateParkingLotCommand,0,28,0,0,0,10,0,2,0,2
